text,favorite_count,date_creation,retweet_count
@ispace_inc Stream on Twitter too!,3014,2023-04-25,285
@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,7200,2023-04-25,636
@stillgray Really? 🤔,11125,2023-04-25,977
@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,7635,2023-04-25,1244
@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,2240,2023-04-25,108
"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",8391,2023-04-25,2308
@zerohedge !,2567,2023-04-25,256
@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,27684,2023-04-25,3677
"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",13107,2023-04-25,2191
"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",17978,2023-04-25,2544
@RobertKennedyJr You and other candidates deserve that opportunity!,33536,2023-04-25,2341
@TheBabylonBee 🤣,3109,2023-04-25,162
@tegmark Exactly,1607,2023-04-25,137
@cenkuygur Wow,11656,2023-04-25,626
"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",17566,2023-04-25,1816
@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,4353,2023-04-25,366
@eldsjal @Spotify Congrats!,2073,2023-04-25,150
@HSajwanization @SarwatNasir @HopeMarsMission Congrats UAE 🇦🇪!!,6820,2023-04-25,1002
@alvinfoo Midjourney,4058,2023-04-25,205
"@WallStreetSilv If you weaponize currency enough times, other countries will stop using it",33015,2023-04-25,4906
@CNNPR Interesting,3820,2023-04-25,232
@krassenstein Great points!,1714,2023-04-25,125
Verified accounts are now prioritized,223166,2023-04-25,15395
@johnhackerla That meme rings a bell,6071,2023-04-25,425
"Sometimes, when you learn about something, you think you have it",81264,2023-04-25,8166
@farzyness It’s been a while since had to intervene. 11.4 is good.,3649,2023-04-25,260
@SmashMemez @alx 🎯,2285,2023-04-25,134
"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",26523,2023-04-25,1770
@shaunmmaguire Ask GPT-whatever,3560,2023-04-25,201
@farzyness Our meat computers are so slow 😔,3899,2023-04-25,272
The collective mind that is this platform needs more signal &amp; less noise,86080,2023-04-25,8020
@farzyness Collective consciousness,8765,2023-04-25,769
@NoemiKhachian @TuckerCarlson @donlemon Odd Couple (2023 remake),2633,2023-04-25,124
@EdKrassen Are you ever critical of someone on the left?,160459,2023-04-25,9048
"@MuskUniversity Can’t shrink humans, so need big rocket",8443,2023-04-25,621
https://t.co/RRFH30OOvt,287697,2023-04-25,26868
@RampCapitalLLC 💯,2053,2023-04-25,112
@cameron Exactly,6962,2023-04-25,348
@GRDecter We’re running out of “everything is fine!” memes,14052,2023-04-25,1383
@WallStreetSilv @alifarhat79 Literally,6737,2023-04-25,385
@JonErlichman WALL-E has decent runway,5875,2023-04-25,220
"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",5322,2023-04-25,382
"Censor not, lest ye be censored",154069,2023-04-25,16131
"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",47622,2023-04-25,8416
"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",10316,2023-04-25,484
"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",5787,2023-04-24,377
Or maybe just X https://t.co/5nCtYbrPfN,60997,2023-04-24,6181
@SawyerMerritt @SpaceX @Tesla Yay!,5041,2023-04-24,239
@all_in_tok @DavidSacks @theallinpod Wow,1738,2023-04-24,109
@ispace_inc Stream on Twitter too!,3029,2023-04-25,285
@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,7216,2023-04-25,638
@stillgray Really? 🤔,11165,2023-04-25,979
@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,7664,2023-04-25,1254
@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,2247,2023-04-25,108
"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",8422,2023-04-25,2316
@zerohedge !,2572,2023-04-25,256
@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,27734,2023-04-25,3679
"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",13140,2023-04-25,2199
"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",18035,2023-04-25,2550
@RobertKennedyJr You and other candidates deserve that opportunity!,33599,2023-04-25,2344
@TheBabylonBee 🤣,3113,2023-04-25,163
@tegmark Exactly,1610,2023-04-25,139
@cenkuygur Wow,11685,2023-04-25,629
"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",17594,2023-04-25,1819
@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,4359,2023-04-25,367
@eldsjal @Spotify Congrats!,2075,2023-04-25,150
